PanjivaRecordID,score
130877705,0.28058243
131049861,0.28101644
128773252,0.28138795
129812940,0.28142905
129721253,0.28203142
128001147,0.28229383
128586487,0.28282312
129198610,0.28282312
128352754,0.28282312
128133567,0.28282312
129688518,0.28282312
128285347,0.28312534
128183120,0.28344825
130405765,0.28428316
129814350,0.28434026
130093703,0.2843449
129187572,0.28553534
130618591,0.28572565
131529306,0.28577253
129470374,0.2862369
128999640,0.2862369
128843491,0.28634474
130901290,0.2864494
128197613,0.28669196
129061330,0.28699908
131488915,0.28728777
131625182,0.28763583
129173008,0.28845233
129711136,0.2887324
131784939,0.28881854
130704699,0.28906742
131625181,0.28972232
130421108,0.29038167
130604298,0.2905594
128687926,0.29113308
131507241,0.29119796
130362912,0.29119796
130985805,0.29139015
128735508,0.29231882
130891854,0.29266015
131722203,0.29289964
131273793,0.29316223
128596400,0.29322013
131045851,0.2933663
129682699,0.29420575
129115157,0.2942101
129254001,0.2942596
130552113,0.29489318
131076846,0.29499376
130764135,0.29499376
131443895,0.2954247
130287603,0.2954247
128719139,0.29664868
128094496,0.29713908
129714028,0.29739833
131537434,0.29748338
129000930,0.29815117
130421833,0.29827213
128197376,0.29858804
130760559,0.29962873
131021198,0.29962873
128510737,0.29967222
130106586,0.29967222
130106587,0.29967222
130024127,0.30025747
129754962,0.3004357
131222566,0.3004357
130357868,0.3004357
129777270,0.30049667
128037355,0.30063868
129735418,0.30103377
129735419,0.30103377
131276332,0.30150416
131625180,0.3019889
129115719,0.30214322
130347368,0.30220556
130154247,0.30239743
131081734,0.3026439
128688938,0.30361405
128098293,0.3037014
131164688,0.3037014
129668336,0.3037014
127949319,0.30381116
131064856,0.3040261
129654127,0.30405474
129591404,0.3041881
130426441,0.30472174
130185387,0.30472174
129881399,0.30472174
130420382,0.30472174
131046928,0.30472174
131046431,0.30472174
131354519,0.30514914
128187502,0.30523562
129760084,0.3053194
130632433,0.30585554
129764632,0.30625585
131030634,0.3063025
128232052,0.30659786
130361370,0.30666974
130976660,0.30666974
130063730,0.30666974
130903894,0.30666974
131386545,0.3067138
128312707,0.30678743
130906967,0.30711567
128447325,0.30747062
129856192,0.3078135
129764198,0.30785367
128715326,0.30813897
127997194,0.30832893
131164285,0.3083972
131053340,0.30848923
129210351,0.30890325
128276183,0.30916584
128594129,0.30957055
129148690,0.3095845
128807147,0.3098486
129398224,0.31032613
130125053,0.3103602
131062368,0.3103602
129047982,0.31065646
129047987,0.31065646
129047980,0.31065646
131438110,0.3106607
130092646,0.31104618
129953613,0.31134462
131793913,0.31158227
129721254,0.311979
128931137,0.31216154
131033993,0.3122018
131682411,0.31220838
130654363,0.31220838
128870358,0.3127078
131112351,0.31355223
129491088,0.313623
131404984,0.31383514
131789877,0.3139368
128974554,0.314241
130068434,0.31473273
129564652,0.3148037
130509399,0.31482378
131113847,0.31551972
131005753,0.31566858
129682635,0.3160336
130083637,0.31609163
129770095,0.31654727
129773052,0.31654727
129215339,0.31684446
129549230,0.31690428
128138039,0.31691945
128724838,0.31714308
130811622,0.31714308
129931045,0.31714308
128412919,0.31714308
128721338,0.31714308
128719198,0.31714308
131654576,0.31730995
128295508,0.31744507
128187252,0.31756967
129325886,0.31789002
128253840,0.3187349
129515062,0.3187349
128614091,0.31883764
128700783,0.31886336
128456086,0.31887528
131646027,0.31894544
131048476,0.31911686
127974896,0.31922737
128751772,0.31927523
131635908,0.3193798
128300107,0.31996703
129041484,0.32003015
128067734,0.32018706
131248000,0.32040536
129739769,0.32080746
128923715,0.321277
130200252,0.3213584
128436011,0.32171202
131729671,0.3217935
131280428,0.3218295
131758225,0.3220604
128475051,0.32224703
128606100,0.3224455
131777019,0.3224876
130868232,0.32278714
131249014,0.323079
130648614,0.323079
129095966,0.32321358
130315251,0.3232679
129049867,0.3233328
129072675,0.32345703
128749148,0.3236044
128932459,0.32367212
130727532,0.3237399
131291494,0.3237399
131579409,0.3237399
128898562,0.32384995
131119382,0.32395703
129221884,0.3240682
131469625,0.32411876
130276495,0.3241527
128487769,0.32424834
131707747,0.3243075
128727962,0.3247176
130999546,0.32478967
129241664,0.32498926
130262298,0.32498926
131706670,0.32509044
129558701,0.32530403
128312630,0.32557836
130062271,0.3256767
130164618,0.32583204
129580789,0.32583648
130302430,0.3258511
129347199,0.3262529
131737168,0.32642004
130185769,0.3266308
130186099,0.3266308
131577956,0.3266651
131777929,0.3267876
128818300,0.3275326
130476123,0.3275326
130232977,0.3276
131803896,0.32826278
130205802,0.32833558
128561923,0.32838753
129468674,0.32891983
129079430,0.32919466
128823079,0.32928312
130033865,0.32937115
131045949,0.32960463
128632509,0.33000246
131525577,0.33002326
131525578,0.33002326
131164220,0.3303377
129980446,0.33048332
131045911,0.33065596
129069231,0.33098683
129972603,0.33098683
129610895,0.33098683
129726569,0.33103204
129791565,0.3310841
129752138,0.3311979
130933678,0.3311979
